"","Date","Primary.Fur.Color","Running","Climbing","Eating","Foraging","Number"
"119",2018-10-10,"Cinnamon",FALSE,TRUE,TRUE,FALSE,1
"120",2018-10-10,"Cinnamon",FALSE,TRUE,TRUE,TRUE,2
"121",2018-10-10,"Cinnamon",TRUE,FALSE,FALSE,FALSE,7
"122",2018-10-10,"Cinnamon",TRUE,FALSE,FALSE,TRUE,4
"123",2018-10-10,"Cinnamon",TRUE,TRUE,FALSE,FALSE,2
"124",2018-10-10,"Cinnamon",TRUE,TRUE,FALSE,TRUE,1
"125",2018-10-10,"Gray",FALSE,FALSE,FALSE,FALSE,19
"126",2018-10-10,"Gray",FALSE,FALSE,FALSE,TRUE,83
"127",2018-10-10,"Gray",FALSE,FALSE,TRUE,FALSE,30
"128",2018-10-10,"Gray",FALSE,FALSE,TRUE,TRUE,30
"129",2018-10-10,"Gray",FALSE,TRUE,FALSE,FALSE,36
"130",2018-10-10,"Gray",FALSE,TRUE,FALSE,TRUE,4
"131",2018-10-10,"Gray",FALSE,TRUE,TRUE,FALSE,4
"132",2018-10-10,"Gray",FALSE,TRUE,TRUE,TRUE,4
"133",2018-10-10,"Gray",TRUE,FALSE,FALSE,FALSE,31
"134",2018-10-10,"Gray",TRUE,FALSE,FALSE,TRUE,13
"135",2018-10-10,"Gray",TRUE,FALSE,TRUE,FALSE,4
"136",2018-10-10,"Gray",TRUE,FALSE,TRUE,TRUE,3
"137",2018-10-10,"Gray",TRUE,TRUE,FALSE,FALSE,5
"138",2018-10-10,"Gray",TRUE,TRUE,FALSE,TRUE,1
"139",2018-10-10,"Unknown",FALSE,FALSE,FALSE,FALSE,2
"140",2018-10-10,"Unknown",FALSE,FALSE,FALSE,TRUE,1
"141",2018-10-10,"Unknown",FALSE,FALSE,TRUE,FALSE,1
"142",2018-10-10,"Unknown",FALSE,TRUE,FALSE,FALSE,1
"143",2018-10-10,"Unknown",TRUE,FALSE,FALSE,FALSE,1
"144",2018-10-10,"Unknown",TRUE,TRUE,FALSE,FALSE,1
"145",2018-10-12,"Black",FALSE,FALSE,FALSE,TRUE,1
"146",2018-10-12,"Black",FALSE,FALSE,TRUE,TRUE,3
"147",2018-10-12,"Black",FALSE,TRUE,FALSE,FALSE,1
"148",2018-10-12,"Black",TRUE,FALSE,FALSE,FALSE,2
"149",2018-10-12,"Black",TRUE,FALSE,FALSE,TRUE,1
"150",2018-10-12,"Cinnamon",FALSE,FALSE,FALSE,TRUE,8
"151",2018-10-12,"Cinnamon",FALSE,FALSE,TRUE,FALSE,4
"152",2018-10-12,"Cinnamon",FALSE,FALSE,TRUE,TRUE,5
"153",2018-10-12,"Cinnamon",FALSE,TRUE,FALSE,FALSE,4
"154",2018-10-12,"Cinnamon",FALSE,TRUE,FALSE,TRUE,1
"155",2018-10-12,"Cinnamon",FALSE,TRUE,TRUE,TRUE,1
"156",2018-10-12,"Cinnamon",TRUE,FALSE,FALSE,FALSE,3
"157",2018-10-12,"Cinnamon",TRUE,FALSE,FALSE,TRUE,6
"158",2018-10-12,"Cinnamon",TRUE,FALSE,TRUE,FALSE,2
"159",2018-10-12,"Cinnamon",TRUE,FALSE,TRUE,TRUE,2
"160",2018-10-12,"Cinnamon",TRUE,TRUE,FALSE,FALSE,1
"161",2018-10-12,"Gray",FALSE,FALSE,FALSE,FALSE,12
"162",2018-10-12,"Gray",FALSE,FALSE,FALSE,TRUE,48
"163",2018-10-12,"Gray",FALSE,FALSE,TRUE,FALSE,14
"164",2018-10-12,"Gray",FALSE,FALSE,TRUE,TRUE,16
"165",2018-10-12,"Gray",FALSE,TRUE,FALSE,FALSE,15
"166",2018-10-12,"Gray",FALSE,TRUE,FALSE,TRUE,2
"167",2018-10-12,"Gray",FALSE,TRUE,TRUE,FALSE,4
"168",2018-10-12,"Gray",FALSE,TRUE,TRUE,TRUE,4
